id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
708572945302311143,0.0,1.0,2.0,1.0,4,30,365,0,365,99.0,0,0.0,4.93,0,2.0,2517.0,1,1,1,1,2.0,3.0,1,0,0
708583370387089121,1.0,1.0,11.0,1.0,8,2,365,0,214,899.0,13,2.34,4.77,1,4.5,2895.0,1,1,1,1,4.0,4.0,1,0,0
708633038110930209,1.0,1.0,1.0,1.0,2,1,365,0,106,58.0,29,4.68,4.97,1,1.0,3566.0,1,0,1,1,1.0,1.0,0,1,0
708638545309790105,1.0,0.9,1.0,1.0,4,1,365,0,0,94.0,8,1.57,4.88,1,1.0,3148.0,1,1,1,1,1.0,2.0,0,1,0
708679800086403064,0.0,1.0,1.0,1.0,2,30,365,1,7,85.0,2,0.43,5.0,1,1.0,3176.0,1,1,1,1,1.0,1.0,1,0,0
708685847127004621,1.0,0.8,2.0,1.0,10,30,365,0,308,215.0,0,0.0,4.93,0,3.0,3319.0,1,1,1,0,5.0,5.0,1,0,0
708712562839480372,0.0,0.99,34.0,1.0,2,1,180,1,352,173.0,28,4.49,4.82,0,1.0,662.0,1,0,1,1,1.0,1.0,1,0,0
708713330714199457,1.0,1.0,1.0,1.0,4,1,365,0,139,175.0,17,2.83,4.94,1,1.0,3811.0,1,1,1,1,2.0,2.0,1,0,0
708733177511993095,1.0,1.0,37.0,1.0,6,1,365,1,103,163.0,10,1.66,4.6,1,2.0,209.0,1,1,1,1,3.0,4.0,1,0,0
708741471213576768,0.0,0.99,34.0,1.0,2,1,180,1,359,164.0,41,6.0,4.83,0,1.0,662.0,1,1,1,1,1.0,1.0,1,0,0
708799042774461725,1.0,1.0,27.0,1.0,16,3,45,1,129,257.0,24,3.75,4.83,1,3.5,1299.0,1,1,1,1,5.0,10.0,1,0,0
708808245330017594,1.0,0.97,5.0,1.0,5,3,31,0,66,404.0,1,0.5,5.0,1,1.0,679.0,1,0,1,1,2.0,2.0,1,0,0
708815216592672796,1.0,0.99,4.0,1.0,9,1,365,0,205,446.0,23,3.85,5.0,1,4.0,2831.0,1,1,1,1,5.0,5.0,1,0,0
